y,y_pred,y_label,file,model
1,0,202008,"Antigua and Barbuda.csv","ARIMA_2_1"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_2_1"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_2_1"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_2_1"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_2_1"
0,1,202104,"Antigua and Barbuda.csv","ARIMA_2_1"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_2_2"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_2_2"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_2_2"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_2_2"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_2_2"
0,1,202104,"Antigua and Barbuda.csv","ARIMA_2_2"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_2_3"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_2_3"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_2_3"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_2_3"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_2_3"
0,1,202104,"Antigua and Barbuda.csv","ARIMA_2_3"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_4_1"
1,0,202009,"Antigua and Barbuda.csv","ARIMA_4_1"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_4_1"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_4_1"
1,1,202103,"Antigua and Barbuda.csv","ARIMA_4_1"
0,1,202104,"Antigua and Barbuda.csv","ARIMA_4_1"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_4_2"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_4_2"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_4_2"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_4_2"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_4_2"
0,0,202104,"Antigua and Barbuda.csv","ARIMA_4_2"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_4_3"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_4_3"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_4_3"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_4_3"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_4_3"
0,0,202104,"Antigua and Barbuda.csv","ARIMA_4_3"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_8_1"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_8_1"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_8_1"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_8_1"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_8_1"
0,1,202104,"Antigua and Barbuda.csv","ARIMA_8_1"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_8_2"
1,0,202009,"Antigua and Barbuda.csv","ARIMA_8_2"
1,1,202010,"Antigua and Barbuda.csv","ARIMA_8_2"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_8_2"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_8_2"
0,1,202104,"Antigua and Barbuda.csv","ARIMA_8_2"
1,0,202008,"Antigua and Barbuda.csv","ARIMA_8_3"
1,1,202009,"Antigua and Barbuda.csv","ARIMA_8_3"
1,0,202010,"Antigua and Barbuda.csv","ARIMA_8_3"
0,1,202102,"Antigua and Barbuda.csv","ARIMA_8_3"
1,0,202103,"Antigua and Barbuda.csv","ARIMA_8_3"
0,0,202104,"Antigua and Barbuda.csv","ARIMA_8_3"
1,1,202103,"Antigua and Barbuda.csv","KNN_2_1"
0,0,202102,"Antigua and Barbuda.csv","KNN_2_1"
0,0,202104,"Antigua and Barbuda.csv","KNN_2_1"
1,1,202103,"Antigua and Barbuda.csv","KNN_2_2"
0,0,202102,"Antigua and Barbuda.csv","KNN_2_2"
0,0,202104,"Antigua and Barbuda.csv","KNN_2_2"
1,1,202103,"Antigua and Barbuda.csv","KNN_2_3"
0,0,202102,"Antigua and Barbuda.csv","KNN_2_3"
0,0,202104,"Antigua and Barbuda.csv","KNN_2_3"
1,1,202103,"Antigua and Barbuda.csv","KNN_2_4"
0,0,202102,"Antigua and Barbuda.csv","KNN_2_4"
0,0,202104,"Antigua and Barbuda.csv","KNN_2_4"
1,0,202103,"Antigua and Barbuda.csv","KNN_2_5"
0,0,202102,"Antigua and Barbuda.csv","KNN_2_5"
0,0,202104,"Antigua and Barbuda.csv","KNN_2_5"
1,0,202103,"Antigua and Barbuda.csv","KNN_4_1"
0,0,202102,"Antigua and Barbuda.csv","KNN_4_1"
0,0,202104,"Antigua and Barbuda.csv","KNN_4_1"
1,0,202103,"Antigua and Barbuda.csv","KNN_4_2"
0,0,202102,"Antigua and Barbuda.csv","KNN_4_2"
0,0,202104,"Antigua and Barbuda.csv","KNN_4_2"
1,0,202103,"Antigua and Barbuda.csv","KNN_4_3"
0,0,202102,"Antigua and Barbuda.csv","KNN_4_3"
0,0,202104,"Antigua and Barbuda.csv","KNN_4_3"
1,0,202103,"Antigua and Barbuda.csv","KNN_4_4"
0,0,202102,"Antigua and Barbuda.csv","KNN_4_4"
0,0,202104,"Antigua and Barbuda.csv","KNN_4_4"
1,0,202103,"Antigua and Barbuda.csv","KNN_4_5"
0,0,202102,"Antigua and Barbuda.csv","KNN_4_5"
0,0,202104,"Antigua and Barbuda.csv","KNN_4_5"
1,1,202103,"Antigua and Barbuda.csv","KNN_8_1"
0,0,202102,"Antigua and Barbuda.csv","KNN_8_1"
0,0,202104,"Antigua and Barbuda.csv","KNN_8_1"
1,0,202103,"Antigua and Barbuda.csv","KNN_8_2"
